2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:112 - capitalAmount: [691.63]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:115 - commissionAmount: [0.0]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:120 - installmentAmount: [723.99]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:122 - Calculated installment: [11], residualAmount: [1850.96], interestAmount: [32.36], capitalAmount: [691.63], installmentAmount: [723.99], commissionAmount: [0.0], referenceAmount: [8354.07], referenceDuration: [13], WIBOR: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:72 - CurrentInstallmentNumber: [12]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:75 - WiborPercent: [0.1099]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:78 - interestPercent: [0.2098]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:81 - q: [1.0174833333]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:85 - residualAmount: [1159.33]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:89 - previousPaymentDate: [2023-10-20]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:92 - residualAmount: [1159.33]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:97 - interestAmount: [20.94]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:100 - referenceAmount: [8354.07]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:103 - referenceDuration: [13]
2024-04-13 23:43:29.291 [main] INFO  p.i.o.s.ConstantAmountsCalculationServiceImpl:108 - installmentAmountWithoutCommission: [723.99]
